"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","Roadmaps"
"IN-10","Nordic-app","License","Add licence to the nordic app due to the public repo on github.com

[https://github.com/facebook/react/blob/main/LICENSE](https://github.com/facebook/react/blob/main/LICENSE)","Done",,"High",,,"pathliving@gmail.com","pathliving@gmail.com","Improvement",,,,,"Tue May 14 2024 08:53:33 GMT+0000 (GMT)","Thu May 23 2024 16:06:19 GMT+0000 (GMT)",,,"Thu May 23 2024 16:06:19 GMT+0000 (GMT)",,,,,"",,,
"IN-11","Nordic-app","Eslint","1) ✅ configure eslint

2) ✅ configure lint-staged

4) ✅ add ""type"": ""module"" to package.json

6) ✅ update eslint packages

7) ✅ update prettier

8) ✅ configure .eslintignore [https://github.com/prettier/prettier/blob/main/.eslintignore](https://github.com/prettier/prettier/blob/main/.eslintignore)

9) ✅ change .eslintrc and .lintstagedrc.json into eslint.config.js and lintstagedrc.config.js

10) ✅ fix eslint in vscode

11) ✅ fix prettier in vscode

12) ✅ remove ""cypress"" from exclude and fix the issue

13) ✅ fix eslint errors (npm run lint)

14) ✅ fix ts errors (tsc)

15) ✅ fix line ""// '\\.s?css$': 'identity-obj-proxy',"" in jest.config.ts

16) ✅ test styles with ""vanilla extract"" package

17) ✅ vscode not see the tsconfig (""typescript.tsdk"": ""node_modules/typescript/lib"" - in settings.json)

96) ✅ do the [IN-13](https://linear.app/nordic-app/issue/IN-13/npm-run-init) task

97) ✅ do the [IN-14](https://linear.app/nordic-app/issue/IN-14/configure-postcss) task

98)✅ do the [IN-10](https://linear.app/nordic-app/issue/IN-10/license) task

99) ✅ and after that push to github repo the nordic app

[https://github.com/pathliving/nordic](https://github.com/pathliving/nordic)","Done",,"High",,,"pathliving@gmail.com","pathliving@gmail.com","Build",,,,,"Tue May 14 2024 08:55:10 GMT+0000 (GMT)","Thu May 23 2024 16:41:11 GMT+0000 (GMT)","Tue May 14 2024 17:10:40 GMT+0000 (GMT)",,"Thu May 23 2024 16:41:11 GMT+0000 (GMT)",,,,,"",,,
"IN-13","Nordic-app","npm run init","Check the command for bug-free","Done",,"High",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Tue May 14 2024 16:55:13 GMT+0000 (GMT)","Thu May 23 2024 15:09:28 GMT+0000 (GMT)","Thu May 23 2024 15:09:18 GMT+0000 (GMT)",,"Thu May 23 2024 15:09:28 GMT+0000 (GMT)",,,,,"",,,
"IN-14","Nordic-app","configure postcss","Need to configure the postcss.config.js file","Done",,"High",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Tue May 14 2024 17:10:26 GMT+0000 (GMT)","Thu May 23 2024 15:12:12 GMT+0000 (GMT)",,,"Thu May 23 2024 15:12:12 GMT+0000 (GMT)",,,,,"",,,
"IN-15","Nordic-app","Readme","Need to fill the README.md file

99) add thanks for the design templates to the company which share it free + link","Todo",,"High",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Tue May 14 2024 17:16:29 GMT+0000 (GMT)","Mon Jun 17 2024 09:01:39 GMT+0000 (GMT)",,,,,,,,"",,,
"IN-16","Nordic-app","Migrate to prettier flat config",".prettierrc > prettier.config.js","Todo",,"Low",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Thu May 23 2024 10:02:19 GMT+0000 (GMT)","Thu May 23 2024 10:02:19 GMT+0000 (GMT)",,,,,,,,"",,,
"IN-17","Nordic-app","Ideas how to organize test file structure","// ""tests/config/\*\*/\*.js"",

// ""tests/format/\*\*/format.test.js"",

// ""tests/integration/\*\*/\*.js"",

// ""tests/unit/\*\*/\*.js"",

// ""tests/dts/unit/\*\*/\*.js"",

// ""scripts/release/**tests**/\*\*/\*.spec.js"",","Todo",,"Low",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Thu May 23 2024 10:15:06 GMT+0000 (GMT)","Thu May 23 2024 10:15:06 GMT+0000 (GMT)",,,,,,,,"",,,
"IN-18","Nordic-app","NORDIC TODO (Backlog list)","\## Roadmap (I need a production-ready nextjs project to use in the future)

---

1. (done) create todo list
2. (done) add pages
3. (done) add i18n
4. add A/B testing
5. nextAuth or lucia auth or something else
6. add icons
7. use feature-sliced design
8. (done) configure rtl + jest + cypress
9. write unit + integration + e2e tests
10. user-friendly UI (loaders+skeleton, useTransition, useDefferedValue, theme switcher, language switcher, toast component)
11. optimization (lazy + suspense)
12. eslint rule for react dependencies (eslint-plugin-react-hooks)
13. web vitals
14.css variables for styling and theming

## Tech stack

---

0. REDUX OR ZUSTAND OR XSTATE OR ANY ElSE [https://www.youtube.com/watch?v=JaM2rExmmqs](https://www.youtube.com/watch?v=JaM2rExmmqs)
1. redux toolkit + redux code splitting [https://redux.js.org/usage/code-splitting#using-a-reducer-manager](https://redux.js.org/usage/code-splitting#using-a-reducer-manager)
2. redux saga
3. ?redux persist (indexedDB) - check maybe this boilerplate is ready on github vercel
4. ??? \\\_\\\_\\\_ rxjs
5. reselect + rereselect
6. ??? \\\_\\\_\\\_ axios
7. (done) react hook form + zod
8. (done) i18n
9. (done) typescript
10. react query + fetch + AbortController
11. (done) jest/vitest + react testing library + playwright/cypress
12. ui components with snapshot tests OR radix ui (+ customize CSS styles (with hover,active,focus states) for one of radix component to work out how to use ready-made component, but with custom styles) OR shadcn OR nextui
13. ??? \\\_\\\_\\\_ styled components OR emotion OR vanilla-extract (zero-runtime css-in-js) or stylexjs by facebook - [https://vanilla-extract.style/](https://vanilla-extract.style/)
14. (done) prettier
15. prettier replace with biome ([https://biomejs.dev/](https://biomejs.dev/))
16. (done) eslint
17. husky
18. docker - [https://mentorcruise.com/blog/how-to-dockerize-a-react-app-and-deploy-it-easily/](https://mentorcruise.com/blog/how-to-dockerize-a-react-app-and-deploy-it-easily/)
19. makefile
20. (done) nextjs
21. github actions - [https://github.com/marketplace/actions/deploy-pr-preview](https://github.com/marketplace/actions/deploy-pr-preview)
22. chrome dev tools
23. immer
24. [https://realworld-docs.netlify.app/docs/specs/frontend-specs/api](https://realworld-docs.netlify.app/docs/specs/frontend-specs/api)
25. sentry
26. websockets
27. browserlist
28. - turn on ""isolatedModules"" for encapsulating the TYPES for components like (export type { ArticleTypes } from './Article.types')
29. PWA - [https://www.youtube.com/playlist?list=PLNYkxOF6rcIB2xHBZ7opgc2Mv009X87Hh](https://www.youtube.com/playlist?list=PLNYkxOF6rcIB2xHBZ7opgc2Mv009X87Hh)
30. indexedDB
31. monorepo
32. graphql + apollo/relay
33. json server or mswjs for mock data
34.vite or tsup for ui components library


# Wix boilerplate

1. styling
2. tdd (jest + rtl + cypress)
3. icons? and images
4. file structure (FSD)

# Resources:

---

0. [https://photos.google.com/search/\_m8_Favorites/photo/AF1QipOMA25IfcphLcrFQUkouLYabhG2EyPwzuNBptpL](https://photos.google.com/search/\_m8_Favorites/photo/AF1QipOMA25IfcphLcrFQUkouLYabhG2EyPwzuNBptpL?authuser=0)
1. [https://github.com/vercel/next.js/tree/canary/examples](https://github.com/vercel/next.js/tree/canary/examples)
2. [https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-analytics.html](https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-analytics.html)","Backlog",,"Low",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Thu May 23 2024 12:01:56 GMT+0000 (GMT)","Wed Jul 10 2024 16:19:31 GMT+0000 (GMT)",,,,,,,,"",,,
"IN-19","Nordic-app","Configure styles","1) add mixin for media queries
2) globalStyle.css.ts and global.css refactor and merge","Todo",,"High",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Thu May 23 2024 13:47:32 GMT+0000 (GMT)","Sun Jun 16 2024 21:06:58 GMT+0000 (GMT)",,,,,,,,"",,,
"IN-20","Nordic-app","Fix deprecation package for eslint flat config","eslint-plugin-deprecation - [https://www.npmjs.com/package/eslint-plugin-deprecation](https://www.npmjs.com/package/eslint-plugin-deprecation)","Todo",,"Low",,,"pathliving@gmail.com","pathliving@gmail.com","",,,,,"Thu May 23 2024 14:54:46 GMT+0000 (GMT)","Thu May 23 2024 14:54:46 GMT+0000 (GMT)",,,,,,,,"",,,
